"ID_PLZ","ESTADO_PLZ","ID_PRO_PLZ","INICIO_VIGENCIA_PLZ","FIN_VIGENCIA_PLZ","FECHA_CAN_PLZ","VALOR_SEGURO_PLZ","ID_MOT_PLZ"
"64","A","7","6/20/2018","12/19/2023","","54.5",""
"65","A","20","9/17/2018","12/26/2023","","57.3",""
"66","A","1","9/26/2018","12/16/2023","","86.4",""
"67","A","16","11/27/2018","12/22/2023","","102.1",""
"68","A","12","6/30/2018","12/31/2023","","103.3",""
"69","A","12","1/2/2019","12/17/2023","","58.4",""
"70","A","1","1/2/2019","12/30/2023","","101",""
"71","A","4","12/21/2018","12/21/2023","","80.4",""
"72","A","17","12/15/2018","12/27/2023","","69.6",""
"73","A","18","12/20/2018","12/2/2023","","118.8",""
"74","A","15","1/11/2019","12/24/2023","","53.7",""
"75","A","7","12/23/2018","12/4/2023","","71",""
"76","A","19","12/25/2018","12/4/2023","","55.2",""
"77","A","13","12/22/2018","12/1/2023","","89.5",""
"78","A","14","12/19/2018","12/28/2023","","76.2",""
"79","A","8","1/8/2019","12/12/2023","","117.5",""
"80","A","18","1/8/2019","12/17/2023","","102.2",""
"81","A","21","1/8/2019","12/18/2023","","57",""
"82","A","21","1/8/2019","12/18/2023","","66",""
"83","A","18","1/8/2019","12/30/2023","","78.6",""
"84","A","17","1/8/2019","12/7/2023","","57.2",""
"85","A","3","1/8/2019","12/6/2023","","113.2",""
"86","A","15","1/8/2019","12/26/2023","","74.4",""
"87","A","6","1/8/2019","12/24/2023","","114.4",""
"88","A","14","1/8/2019","12/6/2023","","53.5",""
"89","A","6","1/8/2019","12/4/2023","","119.3",""
"90","A","6","1/8/2019","12/16/2023","","93.5",""
"91","A","9","1/8/2019","12/17/2023","","99.2",""
"92","A","8","1/8/2019","12/29/2023","","107.4",""
"93","A","8","1/8/2019","12/15/2023","","81.8",""
"94","A","2","1/8/2019","12/10/2023","","95.6",""
"95","A","9","1/8/2019","12/11/2023","","70.8",""
"96","A","11","1/3/2019","12/23/2023","","97.2",""
"97","A","6","1/1/2019","12/10/2023","","89.4",""
"98","A","15","1/1/2019","12/26/2023","","82.1",""
"99","A","10","1/1/2019","12/13/2023","","51.5",""
"100","A","1","1/1/2019","12/14/2023","","87.8",""
"101","A","12","1/1/2019","12/29/2023","","113.7",""
"102","A","2","1/1/2019","12/1/2023","","79.4",""
"103","A","5","1/1/2019","12/8/2023","","79.9",""
"104","A","14","12/26/2018","12/3/2023","","80.4",""
"105","A","15","12/1/2018","1/1/2024","","82.1",""
"106","A","12","1/29/2019","12/7/2023","","73.4",""
"107","A","10","1/2/2019","12/28/2023","","110.1",""
"108","A","15","12/14/2018","12/11/2023","","65.2",""
"109","A","18","1/20/2019","12/25/2023","","76.4",""
"110","A","9","12/26/2018","12/3/2023","","65.7",""
"111","A","21","12/24/2018","12/26/2023","","94.9",""
"112","A","17","10/9/2018","12/31/2023","","74.6",""
"113","A","6","10/28/2018","12/12/2023","","71.7",""
"114","A","10","11/20/2018","12/5/2023","","64.6",""
"115","A","16","11/19/2018","12/4/2023","","73.9",""
"116","A","6","11/22/2018","12/18/2023","","118.6",""
"117","A","19","10/1/2018","12/25/2023","","102.5",""
"118","A","17","10/1/2018","12/22/2023","","71.2",""
"119","A","4","12/3/2018","12/28/2023","","94.4",""
"120","A","11","1/15/2019","12/9/2023","","51.2",""
"121","A","18","12/13/2018","12/11/2023","","83",""
"122","A","22","1/20/2019","12/9/2023","","54.8",""
"123","A","18","12/26/2018","12/10/2023","","98.5",""
"124","A","21","1/21/2019","12/26/2023","","102.5",""
"125","A","17","12/14/2018","12/3/2023","","65.6",""
"126","A","22","1/9/2019","12/13/2023","","106.3",""
"127","A","5","12/21/2018","12/23/2023","","54.8",""
"128","A","7","12/3/2018","12/20/2023","","105.1",""
"129","A","13","12/3/2018","12/14/2023","","86.4",""
"130","A","14","12/3/2018","12/10/2023","","73.1",""
"131","A","4","12/3/2018","12/28/2023","","65.7",""
"132","A","7","12/3/2018","12/21/2023","","92.6",""
"133","A","9","12/3/2018","12/23/2023","","89.5",""
"134","A","1","12/3/2018","12/14/2023","","54.8",""
"135","A","19","12/3/2018","12/22/2023","","54.2",""
"136","A","19","12/3/2018","12/25/2023","","103.6",""
"137","A","11","12/3/2018","12/25/2023","","91.5",""
"138","A","15","12/3/2018","12/20/2023","","71.1",""
"139","A","5","12/28/2018","12/18/2023","","78.7",""
"140","A","16","11/6/2018","12/31/2023","","64.4",""
"141","A","7","12/3/2018","12/14/2023","","115.1",""
"142","A","1","12/3/2018","12/14/2023","","104.4",""
"143","A","13","1/16/2019","12/22/2023","","55",""
"144","A","4","1/16/2019","1/1/2024","","114.3",""
"145","A","1","1/16/2019","12/2/2023","","119.2",""
"146","A","10","1/1/2019","12/18/2023","","107.6",""
"147","A","20","12/28/2018","12/20/2023","","99.3",""
"148","A","11","12/3/2018","12/24/2023","","51.4",""
"149","A","15","12/3/2018","12/28/2023","","59.5",""
"150","A","22","12/3/2018","12/27/2023","","69.5",""
"151","A","1","12/3/2018","12/19/2023","","116.8",""
"152","A","2","12/3/2018","1/1/2024","","114.7",""
"153","C","16","1/1/2019","1/31/2019","5/8/2022","87.6","10"
"154","A","5","12/3/2018","12/30/2023","","103.7",""
"155","A","15","12/3/2018","12/30/2023","","119.7",""
"156","A","20","12/3/2018","12/14/2023","","73.9",""
"157","A","15","12/3/2018","12/19/2023","","107.2",""
"158","A","18","12/3/2018","12/16/2023","","73.2",""
"159","A","3","12/3/2018","12/10/2023","","107.8",""
"160","A","7","12/3/2018","12/10/2023","","57.8",""
"161","A","11","12/3/2018","12/21/2023","","76.5",""
"162","A","21","2/1/2019","12/29/2023","","115.8",""
"163","A","19","12/3/2018","12/4/2023","","65.2",""
"164","A","10","12/3/2018","12/26/2023","","55.8",""
"165","A","2","12/3/2018","12/18/2023","","97.2",""
"166","A","3","12/3/2018","12/30/2023","","100.4",""
"167","A","15","2/1/2019","12/26/2023","","87.7",""
"168","A","4","12/3/2018","12/24/2023","","100.1",""
"169","A","13","1/24/2019","12/19/2023","","68",""
"170","A","21","2/6/2019","12/14/2023","","115.5",""
"171","A","14","2/6/2019","12/12/2023","","51",""
"172","A","8","2/6/2019","12/22/2023","","59.2",""
"173","A","5","2/6/2019","12/18/2023","","103.4",""
"174","A","7","2/6/2019","12/13/2023","","74.9",""
"175","A","14","2/6/2019","12/15/2023","","104.7",""
"176","A","22","2/6/2019","12/29/2023","","77.6",""
"177","A","14","2/6/2019","1/1/2024","","59.7",""
"178","A","3","2/6/2019","12/17/2023","","96.8",""
"179","A","17","2/6/2019","12/6/2023","","62.6",""
"180","A","13","2/6/2019","12/5/2023","","90",""
"181","A","6","2/6/2019","12/21/2023","","55.3",""
"182","A","13","2/6/2019","12/26/2023","","83.4",""
"183","A","20","2/6/2019","12/31/2023","","102.6",""
"184","A","12","2/6/2019","12/8/2023","","99.6",""
"185","A","20","2/6/2019","12/17/2023","","108.7",""
"186","A","14","2/17/2019","12/10/2023","","88.5",""
"187","A","18","2/6/2019","12/13/2023","","79.4",""
"188","A","3","2/6/2019","12/15/2023","","67",""
"189","A","5","2/6/2019","12/15/2023","","89.7",""
"190","A","17","2/6/2019","12/4/2023","","91.1",""
"191","A","7","2/1/2019","12/22/2023","","59.7",""
"192","A","3","2/1/2019","12/9/2023","","117.5",""
"193","A","10","1/31/2019","12/11/2023","","59.1",""
"194","A","19","1/29/2019","12/13/2023","","79",""
"195","A","9","1/31/2019","12/10/2023","","99.6",""
"196","A","5","2/9/2019","12/25/2023","","115.9",""
"197","A","9","1/29/2019","12/10/2023","","59.1",""
"198","A","7","1/29/2019","12/1/2023","","113",""
"199","A","21","12/15/2018","12/29/2023","","69.8",""
"200","A","17","2/1/2019","12/21/2023","","109.8",""
"201","C","14","2/1/2019","2/28/2019","7/13/2022","71.8","10"
"202","A","7","2/3/2019","12/24/2023","","108.1",""
"203","A","7","2/1/2019","12/6/2023","","78",""
"204","A","7","2/1/2019","12/15/2023","","106.7",""
"205","A","10","12/15/2018","12/14/2023","","102.7",""
"206","A","14","2/4/2019","1/1/2024","","92.5",""
"207","A","4","12/3/2018","12/16/2023","","112.3",""
"208","A","14","12/3/2018","12/2/2023","","84.6",""
"209","A","22","2/1/2019","12/21/2023","","68.9",""
"210","A","4","12/3/2018","12/16/2023","","83.3",""
"211","A","9","12/3/2018","12/10/2023","","80.2",""
"212","A","19","12/3/2018","12/15/2023","","103.2",""
"213","A","6","12/3/2018","12/13/2023","","105.8",""
"214","A","7","12/3/2018","12/22/2023","","86.6",""
"215","A","17","12/3/2018","12/28/2023","","64.5",""
"216","A","4","12/3/2018","12/31/2023","","89.9",""
"217","A","7","12/3/2018","12/2/2023","","119.4",""
"218","A","6","12/3/2018","1/1/2024","","82.7",""
"219","A","15","12/3/2018","12/24/2023","","82.8",""
"220","A","3","12/3/2018","12/26/2023","","96.9",""
"221","A","20","12/3/2018","12/31/2023","","72.1",""
"222","A","14","12/3/2018","12/16/2023","","57.3",""
"223","A","8","12/3/2018","12/31/2023","","61.1",""
"224","A","16","12/3/2018","12/25/2023","","59.1",""
"225","A","15","2/1/2019","12/12/2023","","101.6",""
"226","A","5","12/3/2018","12/2/2023","","67",""
"227","A","17","12/3/2018","12/4/2023","","58.9",""
"228","A","16","12/3/2018","1/1/2024","","102.3",""
"229","A","4","12/3/2018","12/10/2023","","92.3",""
"230","A","19","12/3/2018","12/20/2023","","69.7",""
"231","A","9","12/3/2018","12/8/2023","","90",""
"232","A","11","12/3/2018","12/30/2023","","58",""
"233","A","6","12/3/2018","12/31/2023","","72.7",""
"234","A","18","12/3/2018","12/1/2023","","98.7",""
"235","A","15","12/3/2018","12/2/2023","","64.7",""
"236","A","6","12/1/2018","12/6/2023","","107.8",""
"237","A","5","2/6/2019","12/17/2023","","51.7",""
"238","A","16","2/1/2019","12/13/2023","","87.6",""
"239","A","6","1/29/2019","12/10/2023","","103.2",""
"240","A","2","2/1/2019","12/4/2023","","51.7",""
"241","A","15","2/1/2019","12/27/2023","","112.8",""
"242","A","1","2/1/2019","12/5/2023","","105.8",""
"243","A","12","2/1/2019","12/21/2023","","64.8",""
"244","A","19","2/1/2019","12/25/2023","","107.3",""
"245","A","15","1/3/2019","12/9/2023","","94.8",""
"246","A","5","2/1/2019","12/13/2023","","103.8",""
"247","A","18","1/29/2019","12/31/2023","","101.9",""
"248","A","11","1/30/2019","12/2/2023","","115.9",""
"249","A","2","2/1/2019","12/12/2023","","84.2",""
"250","A","4","2/1/2019","12/29/2023","","95.9",""
"251","A","9","2/1/2019","12/30/2023","","50",""
"252","A","22","2/1/2019","12/5/2023","","110.6",""
"253","A","2","12/1/2018","12/3/2023","","116.1",""
"254","A","8","2/1/2019","12/28/2023","","112.7",""
"255","A","5","2/1/2019","12/24/2023","","61.8",""
"256","A","20","2/1/2019","12/12/2023","","112.8",""
"257","A","14","2/1/2019","1/1/2024","","83.4",""
"258","A","12","2/1/2019","12/29/2023","","110.9",""
"259","A","7","2/1/2019","12/5/2023","","64",""
"260","A","2","2/1/2019","12/19/2023","","50.4",""
"261","A","12","1/1/2019","12/22/2023","","111.8",""
"262","A","6","1/1/2019","12/22/2023","","69.4",""
"263","A","3","3/1/2019","12/20/2023","","64",""
"264","A","3","1/1/2019","12/18/2023","","105.3",""
"265","A","14","1/1/2019","12/11/2023","","106.4",""
"266","C","2","1/1/2019","1/31/2019","12/7/2022","66.5","21"
"267","A","14","1/1/2019","12/9/2023","","103",""
"268","A","16","2/18/2019","12/16/2023","","66.3",""
"269","A","14","1/1/2019","12/8/2023","","87.3",""
"270","A","19","1/1/2019","12/18/2023","","54",""
"271","A","6","1/1/2019","12/29/2023","","65.9",""
"272","A","4","12/29/2018","12/30/2023","","114",""
"273","A","11","1/1/2019","12/24/2023","","55.4",""
"274","A","4","1/1/2019","12/22/2023","","102.7",""
"275","A","19","1/1/2019","12/27/2023","","117.9",""
"276","A","18","2/1/2019","12/14/2023","","92.5",""
"277","A","14","1/1/2019","12/29/2023","","115.6",""
"278","A","6","1/1/2019","12/28/2023","","74",""
"279","A","16","1/1/2019","12/15/2023","","93.7",""
"280","A","21","2/1/2019","12/14/2023","","60.1",""
"281","A","7","2/1/2019","12/4/2023","","96.6",""
"282","A","14","1/1/2019","12/9/2023","","90.6",""
"283","A","7","1/1/2019","1/1/2024","","55.7",""
"284","A","7","12/31/2018","12/15/2023","","71.5",""
"285","A","5","2/1/2019","12/20/2023","","102",""
"286","A","21","2/1/2019","12/10/2023","","95.8",""
"287","C","8","2/1/2019","11/1/2019","11/8/2022","80.7","29"
"288","A","12","2/1/2019","12/19/2023","","117.8",""
"289","A","17","2/1/2019","12/3/2023","","84",""
"290","A","19","2/1/2019","12/20/2023","","98.2",""
"291","A","22","1/2/2019","12/26/2023","","54.6",""
"292","A","17","2/1/2019","12/2/2023","","97.2",""
"293","A","18","1/2/2019","1/1/2024","","87.8",""
"294","A","6","1/2/2019","12/18/2023","","59.3",""
"295","A","4","2/1/2019","12/19/2023","","102.7",""
"296","A","22","2/1/2019","12/29/2023","","63.3",""
"297","A","14","2/1/2019","12/8/2023","","77",""
"298","A","20","1/2/2019","12/26/2023","","61.7",""
"299","A","4","1/2/2019","12/18/2023","","72",""
"300","A","5","12/28/2018","12/15/2023","","103.2",""
"301","A","12","1/2/2019","12/2/2023","","63.5",""
"302","A","19","1/2/2019","12/20/2023","","84.8",""
"303","A","1","1/2/2019","12/2/2023","","70.9",""
"304","A","1","1/2/2019","12/2/2023","","95.8",""
"305","A","9","1/2/2019","1/1/2024","","55.6",""
"306","A","18","1/2/2019","12/28/2023","","115.5",""
"307","A","7","1/2/2019","12/24/2023","","77.1",""
"308","A","14","1/2/2019","12/13/2023","","110.9",""
"309","A","18","1/2/2019","12/11/2023","","94.4",""
"310","A","8","1/2/2019","12/8/2023","","106.1",""
"311","A","22","1/2/2019","12/13/2023","","103.5",""
"312","A","12","1/2/2019","12/4/2023","","78.7",""
"313","A","15","1/2/2019","12/9/2023","","94.4",""
"314","A","9","1/2/2019","12/6/2023","","110.7",""
"315","A","13","1/2/2019","12/18/2023","","73.2",""
"316","A","11","1/2/2019","12/14/2023","","52.5",""
"317","A","7","1/2/2019","12/31/2023","","105.3",""
"318","C","14","1/2/2019","1/3/2020","11/9/2022","55.7","10"
"319","A","3","11/18/2017","12/7/2023","","63.6",""
"320","A","3","2/8/2019","12/23/2023","","66",""
"321","A","21","1/2/2019","12/6/2023","","86.8",""
"322","A","14","3/4/2019","12/16/2023","","114.3",""
"323","A","6","1/1/2019","12/4/2023","","77.7",""
"324","A","21","1/1/2019","12/23/2023","","116.1",""
"325","A","21","2/14/2019","12/3/2023","","93.2",""
"326","A","16","2/12/2019","12/10/2023","","58.1",""
"327","A","8","11/7/2017","12/30/2023","","82.5",""
"328","A","7","1/1/2019","12/19/2023","","75.3",""
"329","A","9","1/1/2019","12/7/2023","","74.9",""
"330","A","22","1/1/2019","12/21/2023","","74.6",""
"331","A","2","1/1/2019","12/29/2023","","75",""
"332","A","15","1/1/2019","12/9/2023","","52.7",""
"333","A","15","1/18/2019","12/2/2023","","70.1",""
"334","A","3","1/1/2019","12/25/2023","","90",""
"335","A","9","1/19/2019","12/11/2023","","83.9",""
"336","A","21","1/1/2019","12/4/2023","","82.8",""
"337","A","21","1/25/2019","12/2/2023","","63.7",""
"338","A","5","1/1/2019","12/26/2023","","54.3",""
"339","A","9","1/20/2019","12/24/2023","","104.3",""
"340","C","22","2/7/2019","2/7/2020","7/19/2022","89.5","23"
"341","C","1","1/18/2019","2/18/2019","1/16/2022","71.8","10"
"342","A","19","1/1/2019","12/20/2023","","101.9",""
"343","A","8","1/16/2019","12/28/2023","","111.1",""
"344","A","12","1/7/2019","12/12/2023","","61.1",""
"345","A","4","1/19/2019","12/25/2023","","111.5",""
"346","A","19","12/29/2018","12/23/2023","","94.7",""
"347","A","21","1/18/2019","12/15/2023","","119.3",""
"348","A","1","3/1/2019","12/29/2023","","97.3",""
"349","A","16","3/1/2019","12/26/2023","","112",""
"350","A","2","3/1/2019","12/31/2023","","86.2",""
"351","A","9","3/1/2019","12/8/2023","","66.1",""
"352","A","19","3/1/2019","12/19/2023","","107.2",""
"353","A","12","3/2/2019","12/26/2023","","117.5",""
"354","A","5","3/1/2019","12/23/2023","","51.6",""
"355","A","3","3/1/2019","12/12/2023","","79.6",""
"356","A","11","2/19/2019","12/10/2023","","85.4",""
"357","A","17","3/1/2019","12/22/2023","","68.9",""
"358","A","4","3/1/2019","12/1/2023","","84.7",""
"359","A","18","3/1/2019","12/1/2023","","98.6",""
"360","A","19","3/1/2019","12/1/2023","","70.7",""
"361","A","22","3/1/2019","12/12/2023","","69.4",""
"362","A","15","3/1/2019","12/19/2023","","86.5",""
"363","A","8","3/1/2019","12/16/2023","","87",""
"364","A","13","3/1/2019","12/16/2023","","66.7",""
"365","A","19","1/1/2019","12/13/2023","","59.9",""
"366","A","17","2/18/2019","12/24/2023","","76.5",""
"367","A","6","1/1/2019","12/13/2023","","118.6",""
"368","A","3","1/1/2019","12/15/2023","","104.8",""
"369","A","9","2/23/2019","12/13/2023","","70.1",""
"370","A","7","1/1/2019","12/25/2023","","77.7",""
"371","A","20","1/1/2019","12/14/2023","","81.6",""
"372","A","19","1/1/2019","12/18/2023","","104.2",""
"373","A","1","1/1/2019","12/22/2023","","61.6",""
"374","A","10","1/1/2019","12/24/2023","","88.1",""
"375","A","16","3/8/2019","12/9/2023","","116.3",""
"376","A","2","2/14/2019","12/25/2023","","64.9",""
"377","A","9","1/20/2019","12/14/2023","","71.5",""
"378","A","17","3/7/2019","12/30/2023","","70",""
"379","A","9","3/1/2019","1/1/2024","","74.8",""
"380","A","17","3/1/2019","12/2/2023","","62.5",""
"381","A","5","3/4/2019","12/30/2023","","82.1",""
"382","A","14","1/1/2019","12/22/2023","","86.3",""
"383","A","1","1/1/2019","12/8/2023","","99.1",""
"384","C","3","9/28/2018","10/28/2018","3/8/2022","106","10"
"385","C","6","1/19/2019","2/19/2019","7/7/2022","82.7","10"
"386","A","12","3/1/2019","12/13/2023","","90.7",""
"387","A","16","2/22/2019","12/29/2023","","56.8",""
"388","A","12","1/1/2019","12/31/2023","","117.4",""
"389","A","19","1/1/2019","12/3/2023","","72.9",""
"390","A","12","1/1/2019","12/24/2023","","76.1",""
"391","A","8","2/15/2019","12/15/2023","","103",""
"392","A","18","2/15/2019","12/31/2023","","119.2",""
"393","A","6","1/1/2019","12/16/2023","","65.4",""
"394","A","22","1/1/2019","12/4/2023","","113.7",""
"395","A","12","1/1/2019","12/8/2023","","108.8",""
"396","A","1","1/1/2019","12/11/2023","","63.8",""
"397","A","18","1/1/2019","12/10/2023","","111.4",""
"398","A","22","1/1/2019","12/22/2023","","60.9",""
"399","A","1","1/1/2019","12/24/2023","","87.2",""
"400","A","11","3/3/2019","12/28/2023","","66.3",""
"401","A","3","1/1/2019","12/29/2023","","111.5",""
"402","A","20","1/1/2019","12/31/2023","","108.9",""
"403","A","5","1/1/2019","12/9/2023","","84.9",""
"404","A","3","2/15/2019","12/16/2023","","119.9",""
"405","A","18","3/23/2019","12/2/2023","","59.7",""
"406","A","6","2/5/2019","12/27/2023","","110.4",""
"407","A","20","1/1/2019","12/30/2023","","85.3",""
"408","A","22","1/1/2019","12/29/2023","","116.3",""
"409","A","2","1/1/2019","12/10/2023","","58",""
"410","A","6","1/1/2019","12/20/2023","","69.2",""
"411","A","11","1/1/2019","12/15/2023","","104.4",""
"412","A","10","1/1/2019","12/20/2023","","68.9",""
"413","A","17","1/1/2019","12/25/2023","","118.6",""
"414","A","17","3/1/2019","12/4/2023","","103.4",""
"415","A","15","3/1/2019","12/12/2023","","83.3",""
"416","A","6","3/1/2019","12/16/2023","","114.8",""
"417","A","12","3/1/2019","12/13/2023","","71.3",""
"418","A","8","1/7/2018","12/2/2023","","112.3",""
"419","A","19","3/8/2019","12/31/2023","","70.8",""
"420","A","18","3/1/2019","12/21/2023","","67.1",""
"421","A","13","3/1/2019","12/3/2023","","90.1",""
"422","A","10","3/1/2019","12/18/2023","","73.6",""
"423","C","2","3/1/2019","4/1/2019","5/16/2022","61.6","23"
"424","A","10","3/1/2019","12/1/2023","","79",""
"425","A","15","3/1/2019","12/20/2023","","100.5",""
"426","A","1","3/1/2019","12/9/2023","","52.7",""
"427","A","15","3/1/2019","12/21/2023","","88.5",""
"428","A","8","3/1/2019","12/20/2023","","98.4",""
"429","A","22","3/1/2019","12/12/2023","","108.4",""
"430","A","9","3/1/2019","12/12/2023","","109.4",""
"431","A","8","3/1/2019","12/1/2023","","80.9",""
"432","A","22","3/1/2019","12/8/2023","","109.2",""
"433","A","22","3/1/2019","12/15/2023","","100",""
"434","A","11","3/13/2019","12/24/2023","","68.8",""
"435","A","4","3/1/2019","12/10/2023","","83.5",""
"436","A","5","3/1/2019","12/23/2023","","69.1",""
"437","A","6","3/2/2019","12/30/2023","","87.3",""
"438","A","17","3/2/2019","12/17/2023","","68.4",""
"439","A","15","3/9/2019","12/5/2023","","75.4",""
"440","A","12","3/13/2019","12/17/2023","","55.8",""
"441","A","9","1/1/2019","12/9/2023","","116.1",""
"442","A","16","2/14/2019","12/11/2023","","76.3",""
"443","A","14","1/1/2019","12/15/2023","","111.7",""
"444","A","2","1/1/2019","12/28/2023","","53.7",""
"445","A","18","2/1/2019","12/22/2023","","112.5",""
"446","A","10","2/1/2019","12/27/2023","","107.4",""
"447","A","3","3/21/2019","12/29/2023","","63.2",""
"448","A","9","3/21/2019","12/10/2023","","67.8",""
"449","A","16","3/10/2019","12/23/2023","","82.8",""
"450","A","6","2/1/2019","12/15/2023","","110.5",""
"451","A","7","2/1/2019","12/28/2023","","70.5",""
"452","A","12","2/1/2019","12/22/2023","","66.4",""
"453","A","1","2/1/2019","12/20/2023","","50.9",""
"454","A","19","2/1/2019","12/21/2023","","50.7",""
"455","A","17","2/1/2019","12/15/2023","","56.8",""
"456","A","12","2/1/2019","12/13/2023","","74.6",""
"457","A","10","2/1/2019","12/8/2023","","70.4",""
"458","A","7","2/1/2019","12/17/2023","","57",""
"459","A","8","2/1/2019","12/22/2023","","114.1",""
"460","A","8","2/1/2019","12/24/2023","","85.3",""
"461","A","7","2/1/2019","12/6/2023","","81.3",""
"462","A","2","2/1/2019","12/11/2023","","80.4",""
"463","A","1","2/1/2019","12/2/2023","","85.8",""
"464","A","22","2/17/2019","12/22/2023","","73.1",""
"465","A","9","2/1/2019","12/8/2023","","104.2",""
"466","A","16","2/1/2019","12/2/2023","","71",""
"467","A","20","2/1/2019","12/11/2023","","117.4",""
"468","A","18","2/1/2019","12/28/2023","","60.9",""
"469","A","6","2/1/2019","12/5/2023","","106.9",""
"470","A","18","2/1/2019","12/2/2023","","107.7",""
"471","C","1","2/1/2019","2/28/2019","12/12/2022","77.5","10"
"472","A","7","2/1/2019","12/24/2023","","81.5",""
"473","A","3","2/1/2019","12/21/2023","","50.6",""
"474","A","2","2/1/2019","12/9/2023","","65",""
"475","A","10","2/1/2019","12/16/2023","","117",""
"476","A","3","2/1/2019","12/21/2023","","97.9",""
"477","A","18","2/1/2019","12/9/2023","","91.9",""
"478","A","20","2/1/2019","12/31/2023","","60.5",""
"479","A","5","3/18/2019","12/10/2023","","61.1",""
"480","A","21","2/1/2019","12/24/2023","","59.8",""
"481","A","2","3/10/2019","12/24/2023","","53",""
"482","A","19","2/1/2019","12/5/2023","","89.2",""
"483","A","15","2/1/2019","12/19/2023","","78",""
"484","A","13","2/1/2019","12/4/2023","","119.4",""
"485","A","5","2/1/2019","12/20/2023","","95.5",""
"486","A","18","2/1/2019","12/29/2023","","94.6",""
"487","A","1","2/1/2019","12/28/2023","","81.3",""
"488","A","1","2/1/2019","12/31/2023","","65.1",""
"489","A","6","2/1/2019","12/3/2023","","66.6",""
"490","A","20","2/1/2019","12/5/2023","","55.5",""
"491","A","8","2/1/2019","12/13/2023","","116.6",""
"492","A","10","2/1/2019","12/31/2023","","58.9",""
